latitude,longitude,calculated_host_listings_count,neighbourhood,neighbourhood_group,room_type,price_log
0.6141989498390785,0.4904691116421702,0.5,0.7604139132147951,1.0,1.0,5.41610040220442
0.7482517482517324,0.569256534256624,0.0,0.2328333768871303,1.0,0.1566823934938517,5.0106352940962555
0.7228204321629903,0.5653237491297034,0.0,0.28045170663858127,1.0,1.0,4.382026634673881
0.4527064630870967,0.5427996161300541,0.0,0.18034760194146204,0.378954100965917,0.1566823934938517,4.0943445622221
0.7340721562174792,0.5249421372523102,0.0,0.49142135975586215,1.0,1.0,4.90527477843843
0.5698695767899977,0.4500498654573448,0.0,0.739135099615605,1.0,1.0,4.787491742782046
0.4261862704769186,0.5597726887831129,0.0,0.21391632749554462,0.378954100965917,1.0,4.59511985013459
0.7188036876618185,0.5564232354214198,0.5,0.28045170663858127,1.0,1.0,5.247024072160486
0.5290246086093902,0.5405039233765763,0.0,0.3555785049858953,0.378954100965917,1.0,5.700443573390687
0.3779611392068176,0.5066142295316354,0.5,0.3775277519985539,0.378954100965917,0.1566823934938517,4.0943445622221
0.8898540905461232,0.5984419396721989,0.0,0.13795307715664684,1.0,0.1566823934938517,4.382026634673881
0.6469378372492542,0.4875336356622597,0.0,0.5870745859318462,1.0,1.0,5.0106352940962555
0.5551092506109825,0.4873642812788148,0.0,0.5064097057073342,1.0,1.0,5.19295685089021
0.45725554722095296,0.5669608415031178,0.0,0.18034760194146204,0.378954100965917,0.1566823934938517,3.5553480614894135
0.33205894451569407,0.5290442767627042,0.0,0.12444136444373882,0.378954100965917,0.1566823934938517,5.0106352940962555
0.3943910760519742,0.4982029618199988,0.0,0.41450270428561936,0.378954100965917,1.0,4.787491742782046
0.4765407602777856,0.5053911145400036,0.0,0.39318485104615447,0.378954100965917,0.1566823934938517,4.787491742782046
0.3863091925375528,0.5307190034435507,0.0,0.1727751284678697,0.378954100965917,1.0,5.0106352940962555
0.4494640307789126,0.5711382496283761,0.0,0.18034760194146204,0.378954100965917,1.0,4.74493212836325
0.5802985941394212,0.4961707092185179,0.0,0.539009063709537,1.0,1.0,5.298317366548036
0.5329445640864208,0.47678904088968466,0.0,0.4377284451666365,1.0,0.1566823934938517,4.700480365792417
0.5379291988288486,0.4641627307453575,0.0,0.6922684408470083,1.0,1.0,5.19295685089021
0.5131270113969038,0.5313587866699265,0.0,0.3555785049858953,0.378954100965917,0.1566823934938517,4.382026634673881
